family share, फॅमिलीश,, Doesnt pick up English
Mujhe Apne number par ringtone rakhni hai, अपने न,, Fast Spoken Sentence
recharge, रिचार्ज,, No mistake
Dangal TV, बंग टी,, Incorrect Prediction of repetition of words
mere pass gold membership hai Airtel thanks ki to kya mujhe hello tune ke liye  aagya milegi, मेरे पास को रिमेंबर शी बट द थिंग्स की दो का मुझे हेलो ट्यून के लिए आज्ञा मिलेगी,, Incorrect Prediction of repetition of words
data balance, डाटा बैलेंस,, No mistake
yes baby, येस बार म,, Doesnt pick up English
Mujhe DTH ka recharge karna tha, मुझे डीटीएच का रिचार्ज करना था,, No mistake
naye plans dikhao, नए प्लान दिखाओ,, No mistake
Kyon set, 64,,  Both model prediction and ground truth wrong
Zee TV, के टीवी,, Doesnt pick up English
main balance in Airtel, मेइ वेल इट,, Random Prediction
249, बोथ ज,, Random Prediction
hello, हैलो,, No mistake
payment, गुड वी विमेन,, Random Prediction
hundred, हंडरेड,, No mistake
279, 2079,, Similar Sounding Word Predicted
ji han, जी हाँ,, No mistake
Mera Bil bata do, मेरा बिल बता दो,, No mistake
98 167  929, रिचार्ज बैलेंस,, Random Prediction
279, 2079,, Incorrect Single Word Prediction
Mujhe data packs ke bare mein bata sakte hain, मुझे मुझे डाटा पैक्स के बारे में बता मिलते हैं,, Doesnt pick up English
249, बोथ ज,, Random Prediction
abe yaar Hindi kya kar dimag mat kharab kar, अ वेडिंग देगा दिमाग वित कर गुड,,  Both model prediction and ground truth wrong
kitne tarikh ko khatam hoga Mera recharge, कितने तारी को खत्म हुआ मेरा रिचार्ज,, Last word verb missing
ringtones, रिंग टॉन्स,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
family share, फॅमिलीश,, Fast Spoken Sentence
Zee Cinema lagaiye, जी ने मा लगाए,, Doesnt pick up English
Kuchh naya bhejo, कुछ नया वे जो,, No mistake
good news movie, गुड न्यूज मूवी,, No mistake
Mera Bil detail dikha do, मेरा बिल डिटेल दिखा दो,, No mistake
Annam, अमरना,,  Both model prediction and ground truth wrong
gift card, गिफ्ट कार्ड,, No mistake
Mera Call karne mein dikkat ho rahi hai, मेरा कॉल करने में दिक्कत हो रही है,, No mistake
please activate my Fastrack, प्लीस एक्टिवेट माइ फास्ट थेन,, Extra Words Predicted
hello, से लो,, Random Prediction
data, दाता पर है ले,,  Both model prediction and ground truth wrong
recharge, रिचार्ज,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
internet Kam Nahin kar raha hai, इंटरनेट काम नहीं कर रहा है,, No mistake
ok ji, तेजी,, Doesnt pick up English
mujhe apna data balance check karna hai, मुझे अपना डाटा बेमें चेक करना है,, Incorrect Single Word Prediction
account balance, अकाउंट बैलेंस,, Similar Sounding Word Predicted
kitne tarikh ko khatam hoga Mera recharge, कितने तारी को खत्म हुआ मेरा रिचार्ज,, Doesnt pick up English
update KYC, अपडेट केवाईसी,, No mistake
internet, इंटरनेट,, No mistake
internet, माइ प्लान,, Incorrect Single Word Prediction
Kyon set, 64,,  Both model prediction and ground truth wrong
free data Kaise milega, फ्री डाटा कैसे मिलेगा,, Similar Sounding Word Predicted
dasavala, डी सेवाला,, Similar Sounding Word Predicted
transparent, प्लान चेंज,, Extra Words Predicted
transparent, प्लान चेंज,, Wrong Ground Truth
account balance, अकाउंट बैलेंस,, Similar Sounding Word Predicted
free, त,,  Both model prediction and ground truth wrong
hello, हैलो,, No mistake
this hello tune Airtel thanks app, थिस हेलो दो इट टक्सेप्ट,, Doesnt pick up English
hello balance check karna hai mujhe, चलो आप न चेक करने मे,, Random Prediction
my card, माइ कार्ड,, No mistake
account, अकाउंट बैलेंस,, Wrong Ground Truth
recharge, रिचार्ज,, No mistake
this hello tune Airtel thanks app, थिस हेलो दो इट टक्सेप्ट,, Incorrect Prediction of repetition of words
DND request kya hai, डी एन डी रीक्वेस्ट क्या है,, No mistake
Chak De India full movie 2007, चेक डियर इंडिया फुली दो टेलर सेंट,, Random Prediction
bill detail, विडिटी,, Doesnt pick up English
Mujhe net mein problem a rahi hai, मुझे नेट में प्रॉब्लम आ रही है,, No mistake
Bharat mata ki Jay, भारत माला गेज है,, Doesnt pick up English
Mera account balance, मेरा अकाउंट बैलेंस,, No mistake
Mera internet Kai Dinon Se Kam Nahin karte, मेरा इंटरनेट कई दिनों से काम नहीं करता,, Wrong Ground Truth
DND, फाइंडीज,, Random Prediction
Mujhe net mein problem a rahi hai, मुझे नेट में प्रॉब्लम आ रही है,, No mistake
Airtel volte service ke bare mein bataen, एनएन बोर्ड सर्विस के बारे में बताए,, Random Prediction
TV serial, टीवी सीरियल,, Extra Words Predicted
data balance, डाटा बैलेंस,, No mistake
internet, इंटरनेट,, No mistake
Mera account balance, मेरा अकाउंट बैलेंस,, No mistake
Mere wallet Mein money add kar, मेरी वॉल्ट में मनी ऐड करो,, Incorrect Single Word Prediction
recharge, 304,, Random Prediction
how to setting  hello tune, हाउ दो सेटिंग हेलो ट्यून,, Incorrect Single Word Prediction
